,location,country_code,latitude,longitude,confirmed,dead,recovered,updated
7850,"Fayette County, Illinois",us,39.0669568,-89.0179332,19,2.0,,2020-05-19 19:45:20.115934+00:00
7851,"Washington County, Illinois",us,38.3988869,-89.3226954,17,0.0,,2020-05-19 19:45:20.115934+00:00
7852,Senador Georgino Avelino,br,-6.146780499999999,-35.1427499,2,1.0,,2020-05-19 19:48:09.971655+00:00
7853,"Herefordshire, County of",gb,52.0765164,-2.6544182,413,,,2020-05-14 15:01:09+00:00
7854,São João da Mata,br,-21.9349199,-45.9238871,1,0.0,,2020-05-19 19:48:11.355942+00:00
7855,"LaGrange County, Indiana",us,41.62887020000001,-85.39627689999999,51,2.0,,2020-05-18 19:45:24.591927+00:00
7856,Fontoura Xavier,br,-28.9801762,-52.36728,2,0.0,,2020-05-19 19:47:54.252979+00:00
7857,Ilhota,br,-26.9012037,-48.8285043,9,0.0,,2020-05-19 19:47:56.266501+00:00
7858,Paraibuna,br,-23.3883439,-45.6627324,2,0.0,,2020-05-19 19:48:03.812496+00:00
7859,Hounslow,gb,51.4828358,-0.3882062,707,,,2020-05-14 15:01:09+00:00
7860,Fengxian district,cn,30.917795,121.474042,9,0.0,9.0,2020-05-19 19:48:18.919922+00:00
7861,"Jerauld County, South Dakota",us,44.0364698,-98.61606739999999,6,1.0,,2020-05-19 19:45:20.115934+00:00
7862,Putten,nl,52.2453008,5.5684824,7,,,2020-05-19 19:46:56.897792+00:00
7863,"Pierce County, Washington",us,47.0675877,-122.1295269,1808,68.0,,2020-05-18 19:45:24.591927+00:00
7864,"Morris County, Kansas",us,38.7144832,-96.663812,3,0.0,,2020-05-19 19:45:20.115934+00:00
7865,"Pierce County, Wisconsin",us,44.7508921,-92.38136209999999,21,0.0,,2020-05-19 19:45:20.115934+00:00
7866,Maranguape,br,-3.8829604,-38.6775829,219,28.0,,2020-05-19 19:47:59.967629+00:00
7867,AR RIYAD,sa,24.7135517,46.6752957,7818,12.0,5058.0,2020-05-19 19:48:38.863475+00:00
7868,Amersfoort,nl,52.1561113,5.387826599999999,59,,,2020-05-19 19:46:55.167988+00:00
7869,Herzogtum Lauenburg,de,53.6197281,10.6803271,266,14.0,,2020-05-18 00:00:00+00:00
7870,Wigan,gb,53.5450645,-2.6325074,1069,,,2020-05-14 15:01:09+00:00
7871,Andrelândia,br,-21.7415777,-44.3121113,1,0.0,,2020-05-19 19:47:42.747864+00:00
7872,Três Cachoeiras,br,-29.4529017,-49.9212318,13,0.0,,2020-05-19 19:48:13.313594+00:00
7873,Breves,br,-1.2936976,-50.5135589,374,46.0,,2020-05-19 19:47:46.685932+00:00
7874,Coaraci,br,-14.6374543,-39.555973,26,1.0,,2020-05-19 19:47:51.346707+00:00
7875,Irará,br,-12.0459549,-38.7659919,1,0.0,,2020-05-19 19:47:56.695825+00:00
7876,"Union County, Tennessee",us,36.3194272,-83.804868,4,0.0,,2020-05-19 19:45:20.115934+00:00
7877,Cocal de Telha,br,-4.5576475,-41.9730735,21,0.0,,2020-05-19 19:47:51.361406+00:00
7878,São Mateus do Maranhão,br,-4.030871299999999,-44.4654609,114,0.0,,2020-05-19 19:48:11.706435+00:00
7879,Bishah,sa,19.9763524,42.5901672,108,0.0,42.0,2020-05-19 19:48:38.873830+00:00
7880,Sevastopol,ru,44.61665,33.5253671,143,2.0,83.0,2020-05-19 19:48:35.566651+00:00
7881,Ubatuba,br,-23.4338382,-45.0859321,39,1.0,,2020-05-19 19:48:13.586933+00:00
7882,Opsterland,nl,53.03954179999999,6.1153198,7,,,2020-05-19 19:46:56.819061+00:00
7883,Passo de Torres,br,-29.3207869,-49.7239294,2,0.0,,2020-05-19 19:48:04.238297+00:00
7884,Ituporanga,br,-27.4156778,-49.603384,6,1.0,,2020-05-19 19:47:57.720172+00:00
7885,Pato Branco,br,-26.2297202,-52.6711356,16,1.0,,2020-05-19 19:48:04.257754+00:00
7886,Garça,br,-22.2131635,-49.65553939999999,7,0.0,,2020-05-19 19:47:54.885864+00:00
7887,Socorro,br,-22.5905906,-46.5282973,7,0.0,,2020-05-19 19:48:10.446799+00:00
7888,São Félix do Araguaia,br,-11.6175316,-50.6662379,1,0.0,,2020-05-19 19:48:10.914928+00:00
7889,Konya,tr,37.8746429,32.4931554,584,7.0,,2020-05-11 18:20:32.347354+00:00
7890,São Mateus,br,-18.7002308,-40.0633101,102,2.0,,2020-05-19 19:48:11.713381+00:00
7891,Garuva,br,-26.0296737,-48.8555034,3,0.0,,2020-05-19 19:47:54.877948+00:00
7892,São Pedro da Água Branca,br,-5.0806232,-48.43036310000001,8,0.0,,2020-05-19 19:48:11.848445+00:00
7893,"Bonner County, Idaho",us,48.2751783,-116.5931483,4,0.0,,2020-05-19 19:45:20.115934+00:00
7894,Yanbuʻ,sa,24.0231757,38.1899782,278,1.0,90.0,2020-05-19 19:48:38.883267+00:00
7895,Sonbhadra,in,24.6850005,83.0683519,3,0.0,0.0,2020-05-19 19:48:43.876932+00:00
7896,Moradabad,in,28.8386481,78.7733286,135,0.0,90.0,2020-05-14 23:18:38.598089+00:00
7897,"Bingham County, Idaho",us,43.2112303,-112.3624146,6,0.0,,2020-05-19 19:45:20.115934+00:00
7898,"Blaine County, Idaho",us,43.4743428,-113.9664446,508,5.0,,2020-05-19 19:45:20.115934+00:00
7899,"Black Hawk County, Iowa",us,42.447804,-92.38136209999999,1603,30.0,,2020-05-19 19:45:20.115934+00:00
7900,"Kearny County, Kansas",us,38.0281402,-101.2523792,40,1.0,0.0,2020-05-18 19:46:28.987306+00:00
7901,Jerônimo Monteiro,br,-20.7812123,-41.3930563,3,0.0,,2020-05-19 19:47:58.429010+00:00
7902,Oss,nl,51.7835618,5.5786314,164,,,2020-05-19 19:46:56.825905+00:00
7903,"Wilson County, North Carolina",us,35.6925497,-77.88245959999999,249,9.0,0.0,2020-05-18 19:46:28.987306+00:00
7904,Santa Luzia do Norte,br,-9.604127199999999,-35.8235202,23,0.0,,2020-05-19 19:48:08.976633+00:00
7905,Nordhausen,de,51.4990791,10.791581,61,1.0,,2020-05-18 00:00:00+00:00
7906,São Joaquim de Bicas,br,-20.070776,-44.2384237,4,0.0,,2020-05-19 19:48:11.041945+00:00
7907,"Shelby County, Tennessee",us,35.1268552,-89.9253233,3846,87.0,,2020-05-19 19:45:20.115934+00:00
7908,Águas Belas,br,-9.113584999999999,-37.119659,46,1.0,,2020-05-19 19:48:14.743791+00:00
7909,Ameland,nl,53.44056399999999,5.6587659,0,,,2020-05-19 19:46:55.161060+00:00
7910,Igaci,br,-9.5287917,-36.6741487,1,0.0,,2020-05-19 19:47:56.098060+00:00
7911,Inhambupe,br,-11.7910581,-38.35625539999999,0,0.0,,2020-05-19 19:47:56.412749+00:00
7912,Taió,br,-27.1159847,-49.9961505,2,0.0,,2020-05-19 19:48:12.288786+00:00
7913,Morbi,in,22.8251874,70.84908089999999,2,0.0,2.0,2020-05-19 19:48:48.547056+00:00
7914,Lagoa de Dentro,br,-6.673410100000001,-35.3763667,2,0.0,,2020-05-19 19:47:58.939277+00:00
7915,Yamanashi,jp,35.6635113,138.6388879,60,0.0,51.0,2020-05-19 19:48:33.287117+00:00
7916,Tokushima,jp,34.0703652,134.5549537,5,1.0,4.0,2020-05-19 19:48:33.287117+00:00
7917,"Brookings County, South Dakota",us,44.4211592,-96.83509989999999,14,0.0,,2020-05-19 19:45:20.115934+00:00
7918,Bicas,br,-21.7171248,-43.0628106,1,0.0,,2020-05-19 19:47:45.846642+00:00
7919,"Abbeville County, South Carolina",us,34.1891221,-82.4752757,35,0.0,,2020-05-19 19:45:20.115934+00:00
7920,José Bonifácio,br,-21.0531219,-49.6795917,8,1.0,,2020-05-19 19:47:58.516518+00:00
7921,Laje do Muriaé,br,-21.2092224,-42.1187893,3,0.0,,2020-05-19 19:47:59.016104+00:00
7922,"Brown County, South Dakota",us,45.7581522,-98.25426519999999,200,0.0,,2020-05-19 19:45:20.115934+00:00
